card_id,client_id,card_brand,card_type,card_number,cvv,has_chip,num_cards_issued,credit_limit,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards
4524.0,825.0,Visa,Debit,4344676511950444.0,623.0,YES,2.0,$24295,53.0,66.0,1966.0,11.0,Female,462 Rose Lane,34.15,-117.76,$29278,$59696,$127613,787.0,5.0
2731.0,825.0,Visa,Debit,4956965974959986.0,393.0,YES,2.0,$21968,53.0,66.0,1966.0,11.0,Female,462 Rose Lane,34.15,-117.76,$29278,$59696,$127613,787.0,5.0
3701.0,825.0,Visa,Debit,4582313478255491.0,719.0,YES,2.0,$46414,53.0,66.0,1966.0,11.0,Female,462 Rose Lane,34.15,-117.76,$29278,$59696,$127613,787.0,5.0
42.0,825.0,Visa,Credit,4879494103069057.0,693.0,NO,1.0,$12400,53.0,66.0,1966.0,11.0,Female,462 Rose Lane,34.15,-117.76,$29278,$59696,$127613,787.0,5.0
4659.0,825.0,Mastercard,Debit (Prepaid),5722874738736011.0,75.0,YES,1.0,$28,53.0,66.0,1966.0,11.0,Female,462 Rose Lane,34.15,-117.76,$29278,$59696,$127613,787.0,5.0
4537.0,1746.0,Visa,Credit,4404898874682993.0,736.0,YES,1.0,$27500,53.0,68.0,1966.0,12.0,Female,3606 Federal Boulevard,40.76,-73.74,$37891,$77254,$191349,701.0,5.0
1278.0,1746.0,Visa,Debit,4001482973848631.0,972.0,YES,2.0,$28508,53.0,68.0,1966.0,12.0,Female,3606 Federal Boulevard,40.76,-73.74,$37891,$77254,$191349,701.0,5.0
3687.0,1746.0,Mastercard,Debit,5627220683410948.0,48.0,YES,2.0,$9022,53.0,68.0,1966.0,12.0,Female,3606 Federal Boulevard,40.76,-73.74,$37891,$77254,$191349,701.0,5.0
3465.0,1746.0,Mastercard,Debit (Prepaid),5711382187309326.0,722.0,YES,2.0,$54,53.0,68.0,1966.0,12.0,Female,3606 Federal Boulevard,40.76,-73.74,$37891,$77254,$191349,701.0,5.0
3754.0,1746.0,Mastercard,Debit (Prepaid),5766121508358701.0,908.0,YES,1.0,$99,53.0,68.0,1966.0,12.0,Female,3606 Federal Boulevard,40.76,-73.74,$37891,$77254,$191349,701.0,5.0
